Ref_Interna,Marca,Modelo,Material,Color,Herrajes,Año_Fabricacion,Estado_General,Disponibilidad,Has_Box,Has_Papers,Has_Dustbag,Has_Receipt,Sourcing_Type,Precio_Retail_USD,Coste_Compra_EUR,Precio_Venta_EUR,Margen_Bruto_EUR,Margen_Pct,Descripcion_Corta
HP-93511,Hermès,Evelyne III PM,Clemence,Etoupe,Paladio (PHW),2019,N - Nuevo,En Stock (24h),False,False,True,False,Owned,3800,3411,4806,1395,29.0,Casual y funcional con la H perforada.
HP-20134,Fendi,Fendi First Small,Nappa,Rouge H,Oro Viejo,2018,A - Excelente,Reservado,True,True,True,False,Owned,3400,2123,3290,1167,35.4,La F arquitectónica.
HP-66809,Gucci,Diana Bamboo Small,Leather,Rouge H,Rutenio,2024,AB - Muy bueno,En Sourcing,True,True,True,False,Owned,3600,2004,3076,1072,34.8,Asas de bambú neón.
HP-18369,Prada,Re-Edition 2005,Re-Nylon,Rouge H,Oro (GHW),2021,A - Excelente,En Stock (24h),False,True,True,True,Owned,1980,1029,1825,796,43.6,El icono del Y2K.
HP-63158,Celine,Ava Bag,Triomphe Canvas,Rouge H,Oro Viejo,2020,N - Nuevo,En Stock (24h),False,False,True,True,Consignment,1700,1675,2123,448,21.1,La silueta de media luna.
HP-38764,Chanel,Wallet on Chain (WOC),Caviar,Etoupe,Oro (GHW),2022,B - Buen estado,En Sourcing,True,True,True,True,Owned,3500,1673,2845,1172,41.2,El esencial de entrada a la marca.
HP-77653,Chanel,Classic Flap Jumbo,Caviar,Rouge H,Oro (GHW),2020,N - Nuevo,Bajo Pedido (15 días),True,False,True,False,Consignment,11000,11993,14118,2125,15.0,Para quien necesita más espacio.
HP-42927,Prada,Re-Edition 2005,Re-Nylon,Rouge H,Champagne,2024,A - Excelente,En Sourcing,True,True,True,True,Owned,1980,1537,2084,547,26.2,El icono del Y2K.
HP-65903,Loewe,Puzzle Small,Classic Calf,Gold,Oro (GHW),2019,N - Nuevo,En Stock (24h),True,True,True,False,Consignment,3100,2781,3561,780,21.9,Obra maestra geométrica.
HP-67477,Fendi,Baguette 1997,Zucca Canvas,Verde,Champagne,2021,A - Excelente,En Stock (24h),False,True,True,False,Consignment,3200,2680,3343,663,19.8,"It's not a bag, it's a Baguette."
