ID,Category,Subcategory,Name,Brand_Target,Price,Cost,Margin,Sociological_Fit,Tags,Description
JEW-CHA-0001,Jewelry,Earrings,Pendientes Chanel Vintage Coco Mark Redondos,Chanel,449,250.0,199.0,Classic,"Vintage, Gold, Round, 90s",Pieza seleccionada de alta demanda.
JEW-CHA-0002,Jewelry,Earrings,Pendientes Chanel Vintage Perla Imitación,Chanel,499,280.0,219.0,Classic,"Vintage, Pearl, Elegant",Pieza seleccionada de alta demanda.
JEW-CHA-0003,Jewelry,Earrings,Pendientes Chanel Vintage Bicolor (Colección 98A),Chanel,590,320.0,270.0,Collector,"Vintage, 98A, Rare, Two-tone",Pieza seleccionada de alta demanda.
JEW-CHA-0004,Jewelry,Brooch,Broche Chanel Gripoix Vintage,Chanel,1200,600.0,600.0,Collector,"Vintage, Poured Glass, Rare",Pieza seleccionada de alta demanda.
JEW-HER-0005,Jewelry,Bracelet,Brazalete Hermès Kelly Dog (Black/Gold),Hermès,550,280.0,270.0,Trendsetter,"Leather, Gold, Rock",Pieza seleccionada de alta demanda.
JEW-HER-0006,Jewelry,Necklace,Collar Hermès Farandole 120cm,Hermès,1400,800.0,600.0,Classic,"Silver, Chaine d'Ancre, Long",Pieza seleccionada de alta demanda.
JEW-DIO-0007,Jewelry,Necklace,Gargantilla Dior J'Adior (Antique Gold),Dior,420,180.0,240.0,Trendsetter,"Choker, Logo, Gold",Pieza seleccionada de alta demanda.
ADO-CHA-0008,Adornment,Belt,Cinturón Chanel Chain & Leather (Vintage),Chanel,850,400.0,450.0,Style,"Vintage, Chain, Waist",Pieza seleccionada de alta demanda.
LEA-LOU-0009,Leather Goods,Card Holder,Zippy Coin Purse (Black),Louis Vuitton,450,202.5,247.50000000000003,Pragmatic,"SLG, Louis Vuitton, Black, Daily",Accesorio esencial de Louis Vuitton en color Black.
LEA-LOU-0010,Leather Goods,Card Holder,Zippy Coin Purse (Gold),Louis Vuitton,450,202.5,247.50000000000003,Style,"SLG, Louis Vuitton, Gold, Daily",Accesorio esencial de Louis Vuitton en color Gold.
LEA-LOU-0011,Leather Goods,Card Holder,Zippy Coin Purse (Beige),Louis Vuitton,450,202.5,247.50000000000003,Style,"SLG, Louis Vuitton, Beige, Daily",Accesorio esencial de Louis Vuitton en color Beige.
LEA-LOU-0012,Leather Goods,Card Holder,Key Pouch (Black),Louis Vuitton,320,144.0,176.0,Pragmatic,"SLG, Louis Vuitton, Black, Daily",Accesorio esencial de Louis Vuitton en color Black.
LEA-LOU-0013,Leather Goods,Card Holder,Key Pouch (Gold),Louis Vuitton,320,144.0,176.0,Style,"SLG, Louis Vuitton, Gold, Daily",Accesorio esencial de Louis Vuitton en color Gold.
LEA-LOU-0014,Leather Goods,Card Holder,Key Pouch (Beige),Louis Vuitton,320,144.0,176.0,Style,"SLG, Louis Vuitton, Beige, Daily",Accesorio esencial de Louis Vuitton en color Beige.
LEA-LOU-0015,Leather Goods,Wallet,Victorine Wallet (Black),Louis Vuitton,550,247.5,302.5,Pragmatic,"SLG, Louis Vuitton, Black, Daily",Accesorio esencial de Louis Vuitton en color Black.
LEA-LOU-0016,Leather Goods,Wallet,Victorine Wallet (Gold),Louis Vuitton,550,247.5,302.5,Style,"SLG, Louis Vuitton, Gold, Daily",Accesorio esencial de Louis Vuitton en color Gold.
LEA-LOU-0017,Leather Goods,Wallet,Victorine Wallet (Beige),Louis Vuitton,550,247.5,302.5,Style,"SLG, Louis Vuitton, Beige, Daily",Accesorio esencial de Louis Vuitton en color Beige.
LEA-LOU-0018,Leather Goods,Card Holder,Victorine Wallet (Blue),Louis Vuitton,570,247.5,313.5,Trendsetter,"SLG, Louis Vuitton, Blue, Pop",Edición estacional en Blue.
LEA-LOU-0019,Leather Goods,Card Holder,Toiletry 26 (Black),Louis Vuitton,680,306.0,374.00000000000006,Pragmatic,"SLG, Louis Vuitton, Black, Daily",Accesorio esencial de Louis Vuitton en color Black.
LEA-LOU-0020,Leather Goods,Card Holder,Toiletry 26 (Gold),Louis Vuitton,680,306.0,374.00000000000006,Style,"SLG, Louis Vuitton, Gold, Daily",Accesorio esencial de Louis Vuitton en color Gold.
LEA-LOU-0021,Leather Goods,Card Holder,Toiletry 26 (Beige),Louis Vuitton,680,306.0,374.00000000000006,Style,"SLG, Louis Vuitton, Beige, Daily",Accesorio esencial de Louis Vuitton en color Beige.
LEA-CHA-0022,Leather Goods,Card Holder,Classic Card Holder (Black),Chanel,550,247.5,302.5,Pragmatic,"SLG, Chanel, Black, Daily",Accesorio esencial de Chanel en color Black.
LEA-CHA-0023,Leather Goods,Card Holder,Classic Card Holder (Gold),Chanel,550,247.5,302.5,Style,"SLG, Chanel, Gold, Daily",Accesorio esencial de Chanel en color Gold.
LEA-CHA-0024,Leather Goods,Card Holder,Classic Card Holder (Beige),Chanel,550,247.5,302.5,Style,"SLG, Chanel, Beige, Daily",Accesorio esencial de Chanel en color Beige.
LEA-CHA-0025,Leather Goods,Card Holder,Classic Card Holder (Red),Chanel,570,247.5,313.5,Trendsetter,"SLG, Chanel, Red, Pop",Edición estacional en Red.
LEA-CHA-0026,Leather Goods,Card Holder,Flap Coin Purse (Black),Chanel,620,279.0,341.0,Pragmatic,"SLG, Chanel, Black, Daily",Accesorio esencial de Chanel en color Black.
LEA-CHA-0027,Leather Goods,Card Holder,Flap Coin Purse (Gold),Chanel,620,279.0,341.0,Style,"SLG, Chanel, Gold, Daily",Accesorio esencial de Chanel en color Gold.
LEA-CHA-0028,Leather Goods,Card Holder,Flap Coin Purse (Beige),Chanel,620,279.0,341.0,Style,"SLG, Chanel, Beige, Daily",Accesorio esencial de Chanel en color Beige.
LEA-CHA-0029,Leather Goods,Card Holder,O-Case Mini (Black),Chanel,490,220.5,269.5,Pragmatic,"SLG, Chanel, Black, Daily",Accesorio esencial de Chanel en color Black.
LEA-CHA-0030,Leather Goods,Card Holder,O-Case Mini (Gold),Chanel,490,220.5,269.5,Style,"SLG, Chanel, Gold, Daily",Accesorio esencial de Chanel en color Gold.
LEA-CHA-0031,Leather Goods,Card Holder,O-Case Mini (Beige),Chanel,490,220.5,269.5,Style,"SLG, Chanel, Beige, Daily",Accesorio esencial de Chanel en color Beige.
LEA-HER-0032,Leather Goods,Card Holder,Calvi Card Holder (Black),Hermès,390,175.5,214.50000000000003,Pragmatic,"SLG, Hermès, Black, Daily",Accesorio esencial de Hermès en color Black.
LEA-HER-0033,Leather Goods,Card Holder,Calvi Card Holder (Etoupe),Hermès,390,175.5,214.50000000000003,Pragmatic,"SLG, Hermès, Etoupe, Daily",Accesorio esencial de Hermès en color Etoupe.
LEA-HER-0034,Leather Goods,Card Holder,Calvi Card Holder (Beige),Hermès,390,175.5,214.50000000000003,Style,"SLG, Hermès, Beige, Daily",Accesorio esencial de Hermès en color Beige.
LEA-HER-0035,Leather Goods,Card Holder,Calvi Card Holder (Pink),Hermès,410,175.5,225.50000000000003,Trendsetter,"SLG, Hermès, Pink, Pop",Edición estacional en Pink.
LEA-HER-0036,Leather Goods,Card Holder,Bastia Coin Purse (Black),Hermès,250,112.5,137.5,Pragmatic,"SLG, Hermès, Black, Daily",Accesorio esencial de Hermès en color Black.
LEA-HER-0037,Leather Goods,Card Holder,Bastia Coin Purse (Etoupe),Hermès,250,112.5,137.5,Pragmatic,"SLG, Hermès, Etoupe, Daily",Accesorio esencial de Hermès en color Etoupe.
LEA-HER-0038,Leather Goods,Card Holder,Bastia Coin Purse (Beige),Hermès,250,112.5,137.5,Style,"SLG, Hermès, Beige, Daily",Accesorio esencial de Hermès en color Beige.
